Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
ich,ich,ich,der,der,ich,ich,nich,ich,det,der,der
der,der,der,ich,ich,der,der,wat,der,ick,ich,ich
sich,sich,sich,sich,sich,sich,sich,de,sich,der,sich,sich
sein,und,sein,mein,und,sein,sein,un,sein,ich,und,und
mein,sein,mein,und,sein,mein,und,mi,und,nich,mein,mein
und,mein,und,sein,mein,und,mein,is,mein,se,sein,sein
nicht,du,nicht,in,nicht,nicht,nicht,di,nicht,wat,nicht,nicht
du,nicht,zu,nicht,in,haben,du,ick,einen,is,du,in
haben,zu,haben,du,zu,zu,so,jo,haben,sich,zu,zu
einen,in,du,zu,du,so,zu,se,du,ooch,in,du
zu,so,einen,einen,so,einen,einen,em,so,de,einen,einen
so,einen,in,mit,einen,werden,haben,en,zu,sein,so,so
in,haben,so,so,haben,daß,in,du,in,und,wie,mit
werden,was,werden,wie,wie,du,was,he,was,haben,was,haben
was,mit,wie,auf,mit,in,wie,nu,meinen,in,mit,wie
meinen,wie,was,dies,dies,wollen,mit,nee,werden,nu,von,was
wie,meinen,daß,von,von,was,meinen,denn,wie,mein,meinen,von
mit,werden,mit,aus,was,meinen,is,so,ja,un,haben,auf
daß,von,von,meinen,doch,wenn,daß,dien,mit,et,auf,werden
wollen,wollen,können,mägdlein,meinen,können,doch,na,daß,herr,doch,daß
