Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText
wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp
wordCountStage,wordCountStage,yearNormalized,wordCountStage,wordCountStage,wordCountStage,yearNormalized,wordCountStage,yearNormalized,wordCountStage
yearNormalized,der,wordCountStage,yearNormalized,ich,der,wordCountStage,der,wordCountStage,yearNormalized
ich,ich,ich,ich,der,ich,ich,ich,ich,ich
der,yearNormalized,der,der,sich,sich,der,yearNormalized,der,der
sich,sich,sich,sich,yearNormalized,yearNormalized,sich,sich,sich,sich
sein,sein,sein,sein,und,mein,sein,mein,und,sein
und,und,und,und,mein,und,mein,sein,sein,und
mein,mein,mein,mein,du,sein,und,und,mein,mein
nicht,nicht,nicht,nicht,sein,nicht,nicht,nicht,nicht,nicht
du,zu,du,du,haben,in,du,zu,du,zu
einen,einen,zu,zu,nicht,zu,einen,in,einen,du
so,in,einen,einen,in,du,zu,du,zu,haben
zu,haben,so,haben,dies,so,so,so,so,in
haben,du,in,so,zu,einen,haben,wie,in,so
in,so,haben,in,noch,haben,in,einen,haben,einen
was,werden,wie,was,so,mit,was,haben,was,was
meinen,mit,was,werden,einen,wie,meinen,mit,wie,mit
wie,wie,mit,mit,daß,werden,wie,was,mit,wie
